aspect,total_count,total_pct,negative_count,negative_pct_of_negative_reviews,positive_count,positive_pct_of_positive_reviews
perawat,8546,57.81,512,22.85,7943,65.05
komunikasi,7913,53.53,656,29.27,7165,58.68
dokter,6940,46.95,891,39.76,5919,48.48
fasilitas,5399,36.52,600,26.77,4681,38.34
kebersihan,3807,25.75,155,6.92,3595,29.44
antrean,3751,25.37,1119,49.93,2465,20.19
farmasi,1601,10.83,552,24.63,968,7.93
biaya_bpjs,1574,10.65,651,29.05,855,7.0
administrasi,1477,9.99,477,21.29,898,7.35
